Item Code,Item Name
SDDDC3-064G-G46G,"SanDisk Ultra® Dual Drive Go USB Type-C™ Flash Drive, SDDDC3 64GB, USB Type C, Green, USB3.1/Type C reversible connector, Swivel Design, Ty"
SDDDC3-064G-G46NB,"SanDisk Ultra® Dual Drive Go USB Type-C™ Flash Drive, SDDDC3 64GB, USB Type C, Navy Blue, USB3.1/Type C reversible connector, Swivel Design"
SDDDC3-064G-G46PC,"SanDisk Ultra® Dual Drive Go USB Type-C™ Flash Drive, SDDDC3 64GB, USB Type C, Peach, USB3.1/Type C reversible connector, Swivel Design, Ty"
SDDDC3-128G-G46,"SanDisk Ultra® Dual Drive Go USB Type-C™ Flash Drive, SDDDC3 128GB, USB3.2 Gen 1 Type C / Type A, Swivel Design, Black, 5Y"
SDDDC3-128G-G46G,"SanDisk Ultra® Dual Drive Go USB Type-C™ Flash Drive, SDDDC3 128GB, USB Type C, Green, USB3.1/Type C reversible connector, Swivel Design, T"
SDDDC3-128G-G46NB,"SanDisk Ultra® Dual Drive Go USB Type-C™ Flash Drive, SDDDC3 128GB, USB Type C, Navy Blue, USB3.1/Type C reversible connector, Swivel Desig"
SDDDC3-128G-G46PC,"SanDisk Ultra® Dual Drive Go USB Type-C™ Flash Drive, SDDDC3 128GB, USB Type C, Peach, USB3.1/Type C reversible connector, Swivel Design, T"
SDDDC3-256G-G46,"SanDisk Ultra® Dual Drive Go USB Type-C™ Flash Drive, SDDDC3 256GB, USB3.2 Gen 1 Type C / Type A, Swivel Design, Black, 5Y"
SDDDC3-256G-G46G,"SanDisk Ultra® Dual Drive Go USB Type-C™ Flash Drive, SDDDC3 256GB, USB Type C, Green, USB3.1/Type C reversible connector, Swivel Design, T"
SDDDC3-256G-G46NB,"SanDisk Ultra® Dual Drive Go USB Type-C™ Flash Drive, SDDDC3 256GB, USB Type C, Navy Blue, USB3.1/Type C reversible connector, Swivel Desig"
SDDDC3-256G-G46PC,"SanDisk Ultra® Dual Drive Go USB Type-C™ Flash Drive, SDDDC3 256GB, USB Type C, Peach, USB3.1/Type C reversible connector, Swivel Design, T"
SDDDC3-512G-G46,"SanDisk Ultra® Dual Drive Go USB Type-C™ Flash Drive, SDDDC3 512GB, USB3.2 Gen 1 Type C / Type A, Swivel Design, Black, 5Y"
SDDDC4-032G-G46,"SanDisk Ultra® Dual Drive Luxe USB Type-C Flash Drive, SDDDC4 32GB, USB3.2 Gen1 Type C / Type A, Metal, Swivel Design, 5Y"
SDDDC4-064G-G46,"SanDisk Ultra® Dual Drive Luxe USB Type-C Flash Drive, SDDDC4 64GB, USB3.2 Gen1 Type C / Type A, Metal, Swivel Design, 5Y"
SDDDC4-128G-G46,"SanDisk Ultra® Dual Drive Luxe USB Type-C Flash Drive, SDDDC4 128GB, USB3.2 Gen1 Type C / Type A, Metal, Swivel Design, 5Y"
SDDDC4-256G-G46,"SanDisk Ultra® Dual Drive Luxe USB Type-C Flash Drive, SDDDC4 256GB, USB3.2 Gen1 Type C / Type A, Metal, Swivel Design, 5Y"
SDDDC4-512G-G46,"SanDisk Ultra® Dual Drive Luxe USB Type-C Flash Drive, SDDDC4 512GB, USB3.2 Gen1 Type C / Type A, Metal, Swivel Design, 5Y"
SDDDC4-1T00-G46,"SanDisk Ultra® Dual Drive Luxe USB Type-C Flash Drive, SDDDC4 1TB, USB3.2 Gen1 Type C / Type A, Metal, Swivel Design, 5Y"
SDSSDA-240G-G26,"SanDisk PLUS Solid State Drive, SDSSDA-240G, 240GB, SR530/SW440MB/s, 3Y"
SDSSDA-480G-G26,"SanDisk PLUS Solid State Drive, SDSSDA-480G, 480GB, SR535/SW445MB/s, 3Y"
SDSSDA-1T00-G27,"SanDisk PLUS Solid State Drive, SDSSDA-1T00, 1TB, SR535/SW350MB/s, 3Y"
SDSSDA-2T00-G26,"SanDisk PLUS Solid State Drive, SDSSDA-2T00, 2TB, SR545/SW450MB/s, 3Y"
SDSSDH3-500G-G26,"SanDisk Ultra 3D SSD, SDSSDH3-500G, 500GB, SR560/SW510MB/s, 5Y"
SDSSDH3-1T00-G25,"SanDisk Ultra 3D SSD 1TB, SR560/SW530MB/s"
SDSSDH3-2T00-G25,"SanDisk Ultra 3D SSD 2TB, SR560/SW530MB/s"
SDSSDH3-4T00-G25,"SanDisk Ultra 3D SSD 4TB, SR560/SW530MB/s"
