"Item Code","ID (Taxes)","Tax Category (Taxes)"
"SDCZ800-064G-G46","bfe4da1682",""
"SDCZ74-512G-G46","e4e89f0535",""
"SDCZ74-256G-G46","0f373267a5",""
"SDCZ74-128G-G46","b989db4058",""
"SDCZ74-064G-G46","f9050964bc",""
"SDCZ74-032G-G46","aab5be5c3e",""
"SDCZ74-016G-G46","b696edfce6",""
"SDCZ93-128G-G46","7730307886",""
"SDCZ93-064G-G46","119bb0b78a",""
"SDCZ73-256G-G46","7f9f211882",""
"SDCZ73-128G-G46","9913bb8329",""
"SDCZ73-064G-G46","97c711d18e",""
"SDCZ73-032G-G46","a7fa2abb0b",""
"SDCZ73-016G-G46","5345b00f8e",""
"SDCZ48-256G-U46","35bfc54c35",""
"SDCZ48-128G-U46","a8f61fbd40",""
"SDCZ48-064G-U46","a1ddc85929",""
"SDCZ48-032G-U46","93bf219bc8",""
"SDCZ48-016G-U46","d4f9c346c2",""
"SDCZ430-256G-G46","ccb5058a9e",""
"SDCZ430-128G-G46","ea2d9a4b63",""
"SDCZ430-064G-G46","c4651436fa",""
"SDCZ430-032G-G46","05098dddc3",""
"SDCZ430-016G-G46","954dd5209c",""
"SDCZ600-256G-G35","72c968c9ae",""
"SDCZ600-128G-G35","d6e23d3274",""
"SDCZ600-064G-G35","807fa88430",""
"SDCZ600-032G-G35","6bf974c251",""
"SDCZ600-016G-G35","eadff13ea7",""
"SDCZ60-128G-B35","bc41e01db7",""
"SDCZ60-064G-B35","4a9d0a23fb",""
"SDCZ60-032G-B35","3bbfbaa163",""
"SDCZ60-016G-B35","f003a18300",""
"SDCZ50C-016G-B35W","0efafca7e9",""
"SDCZ50C-016G-B35PE","d2b8ab5e7c",""
